주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,운영요일,주차기본시간,주차기본요금(원),추가단위시간,추가단위요금(원),1일주차권요금적용시간,1일주차권요금(원),월정기권요금(원),결제방법,특기사항,관리기관명,전화번호,데이터기준일자
19,만석공원 제1,공영,공원,장안구 송정로 9(송죽동),장안구 송죽동 434-2,76,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
20,만석공원 제2,공영,공원,장안구 송정로 9(송죽동),장안구 송죽동 434-2,61,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
21,만석공원 제3,공영,공원,장안구 송정로 9(송죽동),장안구 송죽동 434-2,50,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
22,만석공원 제4,공영,공원,장안구 송정로 9(송죽동),장안구 송죽동 434-2,43,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,주간(9~19시) 20000 / 야간(19시~9시) 20000 / 전일 40000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
23,매탄공원,공영,공원,영통구 매탄로 185(매탄동),영통구 매탄동 811,222,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,40000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
24,신대호수(제3주차장),공영,공원,영통구 광교호수로 214(하동),영통구 하동1008,245,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,없음,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
25,원천호수공원(제1주차장),공영,공원,영통구 광교호수로 75(하동),영통구 하동 1024,396,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,없음,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
26,행복한들(제2주차장),공영,공원,영통구 광교호수로 165(하동),영통구 하동1000,229,공원,연중무휴,3시간이내 1000원 / 3～6시간 2000원 / 6～9시간 이내 3000원,없음,,,24시간,5000,없음,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
27,권선지하,공영,주택가,권선구 세지로 82번길 15-3(권선동),권선구 권선동 980-2,66,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
28,남수동,공영,주택가,팔달구 창룡대로 26번길 19(남수동),팔달구 남수동 41-7,63,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
29,매봉공영,공영,주택가,영통구 동탄원천로 1109번길 61(매탄동),영통구 매탄동 1210,200,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
30,영화동,공영,주택가,장안구 수성로 382번길 30(영화동),장안구 영화동250-1,212,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
31,우만공원,공영,주택가,팔달구 세지로 436(우만동),팔달구 우만동 500,119,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
32,인계동주택,공영,주택가,팔달구 세지로 233(인계동),팔달구 인계동821-4,80,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
33,장안동공영,공영,주택가,팔달구 장안동 51번지 일원,팔달구 장안동 51,138,주1,연중무휴,30분,600,10분,300,24시간,6000,54000 / 35000 / 70000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
34,연무동공영,공영,주택가,장안구 경수대로 743번길 57(연무동) 지하1층,연무동 193-338,166,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
35,신동 제1공영,공영,주택가,영통구 신동 931-5,영통구 신동 931-5,62,주2,연중무휴,30분,400,10분,200,24시간,4000,40000 / 30000 / 50000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
36,대황교화물,공영,화물,권선구 정조로 224(대황교동),권선구 대황교동 31-3,244,3,연중무휴,30분,승용차 400/2.5~4.5톤 800/4.5톤이상 1200,10분,100/200/300,24시간, 3500/7000/10500 ,35000 / 20000 / 40000/ 70000 / 40000 / 80000 / 105000 / 60000 / 120000,카드전용,없음,수원도시공사,031-267-4753,2023-11-30
37,수원화물공영차고지(고색),공영,화물,권선구 서부로 1390번길 114,권선구 고색동 551번지 일원(고색동),208,3,연중무휴,30분,승용차 400/2.5~4.5톤 800/4.5톤이상 1200,10분,100/200/300,24시간, 3500/7000/10500 ,35000 / 20000 / 40000/ 70000 / 40000 / 80000 / 105000 / 60000 / 120000,카드전용,없음,수원도시공사,031-278-9206,2023-11-30
38,곡반정동 제2공영,공영,노외,권선구 곡선로49번길 14-5,곡반정동 553,204,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 20000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
39,터미널공영,공영,노외,권선구 경수대로 270(권선동),권선구 권선동 1189,51,2,연중무휴,30분,600,10분,300,24시간,7000,60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
40,교동공영,공영,노외,팔달구 향교로 140(교동),팔달구 교동 98,246,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
41,인계공영,공영,노외,팔달구 장다리로 306번길 24(인계동),팔달구 인계동 944-1,56,2,연중무휴,30분,600,10분,300,24시간,7000,60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
42,창룡공영,공영,노외,팔달구 월드컵로 381번길 2(우만동),팔달구 우만동 582,87,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
43,백설공영,공영,노외,장안구 정자천로133번길 26(정자동),장안구 정자동 879-3,56,2,연중무휴,30분,600,10분,300,24시간,7000,60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
44,율전공영 율전 제2공영(46면),공영,노외,장안구 서부로 2106번길 27(율전동),장안구 율전동 402-1,118,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
45,화홍문공영,공영,노외,장안구 팔달로 280(영화동),장안구 영화동 153-13,497,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
46,광교1동공영,공영,노외,영통구 대학1로8번길 33 (이의동),영통구 이의동 1274,35,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 20000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
47,광교대학로공영,공영,노외,영통구 대학1로 36 (이의동),영통구 이의동 1260-6,49,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 20000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
48,광교중앙마을공영,공영,노외,영통구 광교중앙로25번길 17 (원천동),영통구 원천동 577,46,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 20000 / 60000,카드전용,토요일/ 일요일 무료개방,수원도시공사,031-695-0930,2023-11-30
49,카페거리 1공영,공영,노외,영통구 센트럴파크로127번길 80-5 (이의동),영통구 이의동 1307-3,64,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 20000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
50,영통공영,공영,노외,영통구 봉영로 1598(영통동),영통구 영통동 995-3,305,1,연중무휴,30분,900,10분,400,24시간,9500,72000 / 48000 / 80000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
51,수원역세권1지구,공영,노외,권선구 권선로357번길13,권선구 서둔동 393번지,100,1,연중무휴,30분,900,10분,400,24시간,9500,72000 / 48000 / 80000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
52,파장동맛고을,공영,노외,장안구 파장천로 115-8 (파장동),장안구 파장동 338-18번지,70,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
53,곡반정동 제7공영,공영,노외,권선구 곡반정로 188 (곡반정동),권선구 곡반정동 652-1,92,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
54,우만2동공영주차장,공영,노외,팔달구 아주로27번길 5 (우만동),팔달구 우만동 72-3번지,173,2,연중무휴,30분,600,10분,300,24시간,7000,60000 / 36000 / 60000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
55,화서시장공영,공영,노외,팔달구 팔달로119번길 29,팔달구 화서동 98-16,159,1,연중무휴,30분,900,10분,400,24시간,9500,없음,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
56,곡반제8공영,공영,노외,권선구 곡반정로 158번길 4,권선구 곡반정동 150-5,271,2,연중무휴,30분,600,10분,300,24시간,7000,없음,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
57,망포공영,공영,노외,영통구 영통로 200번길 1,영통구 영통동 980-2번지외 1필지,179,1,연중무휴,30분,900,10분,400,24시간,9500,72000 / 48000 / 80000,카드전용,없음,수원도시공사,031-695-0930,2023-11-30
